LABNR,C14AGE,C14STD,C13,METHOD,MATERIAL,COUNTRY,SITE,FEATURE,FEATURE_DESC,DEPTH,LAT,LONG,PHASE,LITHICS,POTTERY,IRON,FRUIT,ZOO,CLASS,REMARK,SOURCE
Beta-182549,2770,70,,,-,CMR,Bissiang,B,Pit,0.95,2.998,10.021,,indet,Malongo/Bissiang,-,,-,Ia,,Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 515; Eggert/Seidensticker 2016:77 Tab. 4.2
Beta-182550,1530,70,,,-,CMR,Bidou,I-C,Pit,0.2,3.031,10.083,,-,Bidjouka,-,,-,Ia,,Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 593; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182551,1580,80,,,-,CMR,Bidjouka,E,Pit,0.6,3.137,10.502,,-,Bidjouka,-,,-,Ia,,Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 583; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182552,1480,70,,,-,CMR,Bidjouka,A,Pit,0.8,3.137,10.502,,-,Bidjouka,-,,-,Ia,,Lavachery et al. 2010: 175; Gouem Gouem 2010/2011: 585; Eggert/Seidensticker 2016:83 Tab. 4.2
Beta-182553,270,70,,,-,CMR,Lom 1,-,-,0.25,5.404,13.49,,-,indet,"slag,tuyères",-,,Ib,,Lavachery et al. 2010
Beta-182554,920,120,,,-,CMR,Pangar,-,-,0.25,5.641,13.715,,indet,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182555,2000,40,,,-,CMR,Ngoumou,-,Pit,0.5,3.602,11.321,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182556,330,50,,,-,CMR,Obokoue,-,Pit,0.3,3.647,11.352,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182557,1590,60,,,-,CMR,Binguela II,-,Pit,0.5,3.741,11.373,,-,indet,-,"Eg, Cs",,Ib,,Lavachery et al. 2010
Beta-182558,1670,70,,,-,CMR,Binguela II,-,Pit,0.5,3.741,11.373,,-,indet,-,Eg,,Ib,,Lavachery et al. 2010
Beta-182559,1630,70,,,-,CMR,Binguela II,-,Pit,0.55,3.741,11.373,,-,indet,-,Eg,,Ib,,Lavachery et al. 2010
Beta-182560,2170,70,,,-,CMR,Zoatoupsi,-,Pit,1.3,3.81,11.389,,-,indet,-,"Eg, Cs",,Ib,,Lavachery et al. 2010
Beta-182561,1550,70,,,-,CMR,Ozom,-,Pit,0.5,3.914,11.417,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182562,870,60,,,-,CMR,Beka Petel,-,-,0.95,6.771,14.421,,-,indet,slag,,-,Ic,,Lavachery et al. 2010
Beta-182563,750,70,,,-,CMR,Beka Petel,-,-,0.15,6.771,14.421,,-,indet,slag,,-,Ic,,Lavachery et al. 2010
Beta-182564,1420,60,,,-,CMR,Essong Missang,-,Pit,0.3,4.091,11.581,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182565,2120,70,,,-,CMR,Ezezang,-,Pit,0.9,4.026,11.498,,indet,indet,slag,Eg; Cs,,Ib,,Lavachery et al. 2010
Beta-182566,2410,60,,,-,CMR,Ezezang,-,Pit,0.5,4.026,11.498,,indet,indet,slag,Eg; Cs,,Ib,,Lavachery et al. 2010
Beta-182567,2220,70,,,-,CMR,Ezezang,-,Trench,0.1,4.026,11.498,,indet,indet,-,Eg,,Ib,,Lavachery et al. 2010
Beta-182568,2260,40,,,-,CMR,Ezezang,-,Trench,0.3,4.026,11.498,,-,indet,-,Eg,,Ib,,Lavachery et al. 2010
Beta-182569,2210,40,,,-,CMR,Ezezang,-,Trench,0.5,4.026,11.498,,indet,indet,-,Eg,,Ib,,Lavachery et al. 2010
Beta-182570,2240,100,,,-,CMR,Ongot,-,Pit,1.55,3.851,11.378,,-,indet,-,,-,Ib,,Lavachery et al. 2010
Beta-182571,1410,60,,,-,CMR,Ongot,-,Pit,0.9,3.851,11.378,,-,indet,-,Coula edulis,,Ib,,Lavachery et al. 2010
Beta-182572,2140,110,,,-,CMR,Leboudi,-,Pit,1.1,3.923,11.424,,indet,indet,slag,Eg,,Ib,,Lavachery et al. 2010
